date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:03	4962/4962	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Apr%202023%2005:34:03%20GMT	https://www.maman-corp.com/robots.txt		(from )
11:04:05	48750/48750	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2016:07:58%20GMT	https://www.maman-corp.com/	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/index.html	(from )
11:04:05	1107/1107	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Jun%202018%2008:28:00%20GMT	https://www.maman-corp.com/apple-touch-icon.png	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/apple-touch-icon.png	(from https://www.maman-corp.com/)
11:04:06	773/773	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Jun%202018%2008:28:02%20GMT	https://www.maman-corp.com/favicon-16x16.png	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/favicon-16x16.png	(from https://www.maman-corp.com/)
11:04:06	897/897	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Jun%202018%2008:28:02%20GMT	https://www.maman-corp.com/favicon-32x32.png	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/favicon-32x32.png	(from https://www.maman-corp.com/)
11:04:06	403/403	---MCZ	200	added ('OK')	application/json	date:Wed,%2027%20Jun%202018%2008:28:02%20GMT	https://www.maman-corp.com/manifest.json	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/manifest.json	(from https://www.maman-corp.com/)
11:04:07	821/821	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/safari-pinned-tab.svg	(from https://www.maman-corp.com/)
11:04:07	3112/3112	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/js/lib/modernizr-custom.min.js	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/js/lib/modernizr-custom.min.js	(from https://www.maman-corp.com/)
11:04:07	116058/116058	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:28:02%20GMT	https://www.maman-corp.com/assets/css/main.css	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/css/main.css	(from https://www.maman-corp.com/)
11:04:09	38242/38242	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Apr%202023%2005:34:09%20GMT	https://www.maman-corp.com/solutions	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/solutions.html	(from https://www.maman-corp.com/)
11:04:11	28254/28254	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2013:52:13%20GMT	https://www.maman-corp.com/process	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/process.html	(from https://www.maman-corp.com/)
11:04:14	162762/162762	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2013:52:16%20GMT	https://www.maman-corp.com/project/	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/project/index.html	(from https://www.maman-corp.com/)
11:04:14	27224/27224	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Apr%202023%2005:34:14%20GMT	https://www.maman-corp.com/about	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/about.html	(from https://www.maman-corp.com/)
11:04:16	46654/46654	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2013:52:21%20GMT	https://www.maman-corp.com/contact	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/contact.html	(from https://www.maman-corp.com/)
11:04:17	2380367/2380367	---M--	200	added ('OK')	video/mp4	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/video/home-landing.mp4	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/video/home-landing.mp4	(from https://www.maman-corp.com/)
11:04:17	1247210/1247210	---M--	200	added ('OK')	video/mp4	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/video/home-1.mp4	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/video/home-1.mp4	(from https://www.maman-corp.com/)
